IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
225,SIZE,,"5""",5,5IN,5 IN,5X5X5,,,,,,,,,,,,,,,
226,SIZE,,"54""",54,,,54X54X54X,,,,,,,,,,,,,,,
227,SIZE,,"6""",6,6IN,6 IN,6X6X6,,,,,,,,,,,,,,,
228,SIZE,,"60""",60,,,60X60X60,,,,,,,,,,,,,,,
229,,,"7""",7,7IN,7 IN,7X7X7,,,,,,,,,,,,,,,
230,SIZE,,"8""",8,8IN,8 IN,8X8X8,,,,,,,,,,,,,,,
231,,,"9""",9,9IN,9 IN,9X9X9,,,,,,,,,,,,,,,
232,TYPE,,AOV,Air Operated Valve ,,,,,,,,,,,,,,,,,,
233,TYPE,,BB,BOLTED BONNET,,,,,,,,,,,,,,,,,,
234,TYPE,,BFV,Butterfly Valve ,BF,BFLY,,,,,,,,,,,,,,,,
235,TYPE,,BS,BELLOWS SEAL,,,,,,,,,,,,,,,,,,
236,TYPE,,BV,Ball Valve ,,,,,,,,,,,,,,,,,,
237,TYPE,,CV,CHK VLV,CHECK VALVE,,,,,,,,,,,,,,,,,
238,TYPE,,DBB,Double Block and Bleed ,,,,,,,,,,,,,,,,,,
239,TYPE,,DCV,Directional Control Valve ,,,,,,,,,,,,,,,,,,
240,TYPE,,DOV,DOUBLE OFFSET VALVE,,,,,,,,,,,,,,,,,,
241,TYPE,,GLB,GLOBE,,,,,,,,,,,,,,,,,,
242,TYPE,,NIP,NIPPLE,NPPL,NPPLS,,,,,,,,,,,,,,,,
243,TYPE,,IREB,Integrally reinforced EXTENDED BODY,,,,,,,,,,,,,,,,,,
244,TYPE,,LB,Long Bend ,,,,,,,,,,,,,,,,,,
245,TYPE,,LJ,LAP JOINT,,,,,,,,,,,,,,,,,,
246,TYPE,,MOV,Motor Operated Valve ,,,,,,,,,,,,,,,,,,
247,TYPE,,NRV,Non-Return Valve ,,,,,,,,,,,,,,,,,,
248,TYPE,,PCV,Pressure Control Valve ,,,,,,,,,,,,,,,,,,
249,TYPE,,RV,RELIEF VALVE,,,,,,,,,,,,,,,,,,
250,TYPE,,SB,SHORT BEND,,,,,,,,,,,,,,,,,,
251,TYPE,,SDV,Shutdown Valve ,,,,,,,,,,,,,,,,,,
252,TYPE,,SO,SLIP ON,SLIP-ON,SL,,,,,,,,,,,,,,,,
253,TYPE,,SOV,Solenoid Operated Valve ,,,,,,,,,,,,,,,,,,
254,TYPE,,SR,SHORT RADIUS,,,,,,,,,,,,,,,,,,
255,TYPE,,TOV,TRIPLE OFFSET VALVE,,,,,,,,,,,,,,,,,,
256,TYPE,,UB,UNION BONNET,,,,,,,,,,,,,,,,,,
257,TYPE,,VJ,Victaulic Joint,,,,,,,,,,,,,,,,,,
258,TYPE,,WB,WELDED BONNET,,,,,,,,,,,,,,,,,,
259,TYPE,,WN,WELD NECK,WELDNECK,,,,,,,,,,,,,,,,,
260,MATERIAL,,A105N,A105 NORMALIZED,,,,,,,,,,,,,,,,,,
